year,date,transect,pointno,pellet.count
2014,2014-04-26,NA,24,0
2014,2014-04-26,NA,25,0
2014,2014-04-26,NA,26,0
2014,2014-04-26,NA,27,0
2014,2014-04-26,NA,1,0
2014,2014-04-26,NA,2,0
2014,2014-04-26,NA,3,0
2014,2014-04-26,NA,4,1
2014,2014-04-26,NA,5,0
2014,2014-04-26,NA,6,0
2014,2014-04-26,NA,7,0
2014,2014-04-26,NA,8,0
2014,2014-04-26,NA,9,0
2014,2014-04-26,NA,10,0
2014,2014-04-26,NA,11,0
2014,2014-04-26,NA,12,0
2014,2014-04-26,NA,13,0
2014,2014-04-26,NA,14,0
2014,2014-04-26,NA,15,0
2014,2014-04-26,NA,16,0
2014,2014-04-26,NA,17,0
2014,2014-04-26,NA,18,0
2014,2014-04-26,NA,19,3
2014,2014-04-26,NA,20,0
2014,2014-04-26,NA,21,2
